word,freq
the,4403
and,3052
i,2919
of,2802
to,2183
my,1819
a,1440
in,1176
was,1062
that,1045
me,876
but,706
had,704
with,691
he,625
which,586
it,578
you,572
as,563
his,550
not,531
for,515
on,479
by,476
this,418
from,396
have,382
be,374
her,374
when,338
at,330
were,320
is,319
she,255
your,252
him,226
one,226
an,223
so,216
they,215
all,205
could,203
would,198
will,198
if,196
been,195
their,190
or,189
are,181
we,181
who,180
no,178
more,174
these,162
some,160
now,158
should,157
yet,154
before,148
myself,145
what,136
upon,135
our,133
them,133
man,132
only,130
am,129
into,129
its,128
did,127
life,123
every,122
do,120
than,118
then,113
father,113
own,113
first,113
might,111
time,109
shall,109
eyes,107
any,103
said,103
may,102
can,98
being,98
saw,97
even,97
towards,95
how,95
those,94
such,92
most,92
night,91
mind,91
found,90
elizabeth,85
day,85
again,84
ever,84
very,83
whom,83
there,82
where,82
thought,81
felt,80
after,80
heart,78
other,78
death,78
feelings,76
many,73
soon,72
up,72
dear,72
made,72
still,72
must,71
friend,70
during,69
passed,69
also,68
while,68
never,68
has,66
us,66
miserable,66
thus,66
became,64
human,64
heard,63
like,63
same,63
place,62
few,62
sometimes,60
over,58
love,58
little,58
appeared,58
clerval,56
indeed,56
friends,56
often,55
nature,55
misery,55
justine,54
among,54
about,54
see,54
although,53
words,53
country,53
whose,52
hope,52
several,52
until,52
away,52
cottage,51
through,50
feel,50
felix,50
old,50
know,50
return,49
despair,49
happiness,49
world,49
days,49
great,49
cannot,48
happy,47
long,47
alone,46
another,46
voice,46
sun,45
poor,45
scene,45
far,45
horror,44
years,44
well,44
much,44
light,44
creature,43
came,43
men,43
fear,43
out,43
affection,42
nothing,42
new,41
two,41
joy,41
hands,40
near,40
almost,40
house,40
power,40
part,40
thoughts,39
months,39
mountains,39
make,39
himself,39
possessed,39
morning,39
pleasure,39
idea,39
entered,38
countenance,38
nor,38
tale,38
seemed,37
therefore,37
journey,37
earth,37
geneva,37
hours,37
down,37
left,37
moment,37
soul,36
come,36
kind,36
good,36
took,36
ice,36
work,36
lost,36
around,35
why,35
child,35
however,35
spirit,34
last,34
here,34
discovered,34
taken,34
rest,34
once,34
gentle,34
become,34
think,33
believe,33
cause,33
knowledge,33
sea,33
peace,32
present,32
continued,32
manner,32
whole,32
sensations,32
resolved,32
gave,32
remained,32
room,32
family,32
knew,32
cold,32
companion,32
already,32
existence,32
strange,32
young,31
each,31
returned,31
within,31
too,31
delight,31
beheld,31
tears,31
without,31
spirits,31
monster,31
mother,31
began,31
looked,30
form,30
nearly,30
appearance,30
fiend,30
brought,30
arrived,30
girl,30
desire,29
endeavoured,29
placed,29
read,29
grief,29
thing,29
loved,29
lake,29
since,29
frankenstein,29
length,29
lay,28
greatest,28
yourself,28
others,28
science,28
story,28
feeling,28
expressed,28
dark,28
imagination,28
native,28
mine,28
sister,27
wind,27
suddenly,27
letter,27
replied,27
change,27
wood,27
food,27
beautiful,27
fire,27
murderer,27
thousand,27
hardly,27
rather,27
beauty,27
various,27
air,27
ground,26
kindness,26
lovely,26
